name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
field1,field,,,,,,,,8,field,(10 soccer |15 football |7 rugby |9 baseball |10 sports |6 playing),,,,
court,field1,,,,,,,,"7,8",,(20 tennis |20 basketball |10 squash |20 volleyball),,,,
farm,,0,1,,5,tags: person|organization,0,TRUE,8,field,--,,,,
ranch,farm,,,,,,,,"8,9",,,,,,
space station,farm,,,,,,,,,,,,,,
zoo,,0,1,,3,tags: person|organization,0,TRUE,8,"site, area",,,,,
graveyard,zoo,,,,,,,,,,,,,,
junkyard,zoo,,,,,,,,,,,,,,
edge,,0,1,,0,,0,TRUE,,"edge, position",,(85 of NP{def:def;tags:bounded}),,,
border,,0,1,,0,,0,TRUE,,boundary,,,,,
